ime,cena,kolicina,procent_alkohola,cena_na_enoto
Macallan Double Cask Gold,£43.95,70cl,40%,£62.79 per litre
Glenturret Sherry Edition,£43.95,70cl,43%,£62.79 per litre
Glenturret Triple Wood,£43.95,70cl,43%,£62.79 per litre
Inchmoan 12 Year Old,£43.95,70cl,46%,£62.79 per litre
 Auchentoshan The Bartender's Malt,£43.95,70cl,47%,£62.79 per litre
Ardbeg An Oa,£43.95,70cl,46.6%,£62.79 per litre
Kilchoman Machir Bay,£43.95,70cl,46%,£62.79 per litre
Old Pulteney Huddart,£43.95,70cl,46%,£62.79 per litre
 Benromach 2011,£43.95,70cl,45%,£62.79 per litre
 Macduff 2009,£43.95,70cl,46%,£62.79 per litre
Glenglassaugh Torfa,£44.25,70cl,50%,£63.21 per litre
 Arran Machrie Moor,£44.25,70cl,46%,£63.21 per litre
 Glenfiddich IPA Cask,£39.95,70cl,43%,£57.07 per litre
Inchmoan 12 Year Old,£44.45,70cl,46%,£63.50 per litre
Caol Ila 12 Year Old,£44.95,70cl,43%,£64.21 per litre
 Glenfiddich 15 Year Old,£44.95,70cl,40%,£64.21 per litre
Bunnahabhain 12 Year Old,£39.95,70cl,46.3%,£57.07 per litre
 Talisker 10 Year Old,£44.95,70cl,45.8%,£64.21 per litre
Cardhu Amber Rock,£44.95,70cl,40%,£64.21 per litre
Wolfburn Northland,£44.95,70cl,46%,£64.21 per litre
Glen Grant 12 Year Old,£44.95,70cl,43%,£64.21 per litre
Wolfburn Aurora,£44.95,70cl,46%,£64.21 per litre
Wolfburn Morven,£44.95,70cl,46%,£64.21 per litre
 Jura 12 Year Old,£44.95,70cl,40%,£64.21 per litre
Kingsbarns Dream to Dram,£44.95,70cl,46%,£64.21 per litre
 Balvenie 12 Year Old,£41.95,70cl,43%,£59.93 per litre
 Tomatin 12 Year Old,£44.95,70cl,43%,£64.21 per litre
Bn8 - Elements of Islay,£44.95,50cl,58.4%,£89.90 per litre
 Glenfiddich Project XX,£45.45,70cl,47%,£64.93 per litre
Tomintoul 14 Year Old,£45.45,70cl,46%,£64.93 per litre
 Tomatin 8 Year Old Bourbon & Sherry Casks,£45.75,100cl,40%,
 Strathmill 12 Year Old,£45.95,70cl,43%,£65.64 per litre
 Glenmorangie Lasanta 12 Year Old,£45.95,70cl,43%,£65.64 per litre
Arran Sauternes Cask Finish,£45.95,70cl,50%,£65.64 per litre
Glenglassaugh Evolution,£45.95,70cl,50%,£65.64 per litre
Port Askaig 100° Proof,£42.95,70cl,57.1%,£61.36 per litre
 Finlaggan Eilean Mor,£45.95,70cl,46%,£65.64 per litre
Glenturret Peated Edition,£45.95,70cl,43%,£65.64 per litre
Fettercairn 12 Year Old,£45.95,70cl,40%,£65.64 per litre
Tobermory 12 Year Old,£45.95,70cl,46.3%,£65.64 per litre
 Benriach The Smoky Twelve,£45.95,70cl,46%,£65.64 per litre
 Unnamed Speyside 2005,£46.25,70cl,46%,£66.07 per litre
 Ardmore 2009,£46.25,70cl,46%,£66.07 per litre
 Caol Ila 2011,£46.25,70cl,46%,£66.07 per litre
 Unnamed Speyside 2007,£46.25,70cl,46%,£66.07 per litre
 Caol Ila 2011,£46.25,70cl,46%,£66.07 per litre
 Ardbeg 10 Year Old,£46.45,70cl,46%,£66.36 per litre
Clynelish 14 Year Old,£46.75,70cl,46%,£66.79 per litre
Arran Marsala Cask Finish,£46.75,70cl,50%,£66.79 per litre
Arran Amarone Cask Finish,£46.75,70cl,50%,£66.79 per litre
Arran Port Cask Finish,£46.75,70cl,50%,£66.79 per litre
Arran Sauternes Cask Finish,£46.75,70cl,50%,£66.79 per litre
 Glen Spey 12 Year Old,£46.95,70cl,43%,£67.07 per litre
 Classic Malts Gentle Collection,£46.95,60cl,43%,£78.25 per litre
 Teaninich 10 Year Old,£46.95,70cl,43%,£67.07 per litre
Dalmore 12 Year Old,£46.95,70cl,40%,£67.07 per litre
 Classic Malts Coastal Collection,£46.95,60cl,44.9%,£78.25 per litre
McDonald's Traditional Ben Nevis,£46.95,70cl,46%,£67.07 per litre
 Benromach 10 Year Old,£46.95,70cl,43%,£67.07 per litre
 Kilchoman Machir Bay and Sanaig Gift Pack,£46.95,40cl,46%,£117.38 per litre
 Bowmore 10 Year Old,£39.95,100cl,40%,
Glenlivet Captain's Reserve,£46.95,70cl,40%,£67.07 per litre
 Inchgower 2013,£46.95,70cl,40%,£67.07 per litre
 Mannochmore 2012,£46.95,70cl,40%,£67.07 per litre
Aultmore 12 Year Old,£47.45,70cl,46%,£67.79 per litre
 Glenturret Triple Wood,£47.45,70cl,43%,£67.79 per litre
 Glencadam 13 Year Old,£47.75,70cl,46%,£68.21 per litre
 Linkwood 12 Year Old,£47.95,70cl,43%,£68.50 per litre
Ileach Cask Strength,£47.95,70cl,58%,£68.50 per litre
 Mannochmore 12 Year Old,£47.95,70cl,43%,£68.50 per litre
 Glenfiddich 21 Year Old,£47.95,20cl,40%,£23.97 per 10cl
 Auchroisk 2012,£47.95,70cl,40%,£68.50 per litre
 Bunnahabhain 10 Year Old,£47.95,70cl,43%,£68.50 per litre
 Darkness 8 Year Old,£47.95,70cl,47.8%,£68.50 per litre
 Blair Athol 12 Year Old,£48.45,70cl,43%,£69.21 per litre
 Inchgower 14 Year Old,£48.45,70cl,43%,£69.21 per litre
Finlaggan Cask Strength Islay Malt,£48.45,70cl,58%,£69.21 per litre
Glendronach Traditionally Peated,£48.45,70cl,48%,£69.21 per litre
Auchentoshan Three Wood,£43.75,70cl,43%,£62.50 per litre
Glen Moray 15 Year Old,£48.75,70cl,40%,£69.64 per litre
 Cardhu Gold Reserve,£48.75,70cl,40%,£69.64 per litre
 Glenlossie 10 Year Old,£48.95,70cl,43%,£69.93 per litre
Oban 14 Year Old,£48.95,70cl,43%,£69.93 per litre
Royal Brackla 12 Year Old,£48.95,70cl,40%,£69.93 per litre
 Caol Ila 13 Year Old,£48.95,70cl,43%,£69.93 per litre
 Miltonduff 10 Year Old,£48.95,70cl,43%,£69.93 per litre
Angels’ Nectar Islay Edition Single Malt Scotch Whisky,£48.95,70cl,47%,£69.93 per litre
 Tormore 13 Year Old,£48.95,70cl,43%,£69.93 per litre
Arran Quarter Cask,£48.95,70cl,56.2%,£69.93 per litre
Kilchoman Sanaig,£49.45,70cl,46%,£70.64 per litre
 Arran Machrie Moor Cask Strength,£49.75,70cl,56.2%,£71.07 per litre
 Dalwhinnie Winter's Frost,£49.75,70cl,43%,£71.07 per litre
 Talisker Select Reserve,£49.75,70cl,45.8%,£71.07 per litre
 Clynelish Reserve,£49.75,70cl,51.2%,£71.07 per litre
 Auchroisk 10 Year Old,£49.95,70cl,43%,£71.36 per litre
Caol Ila Moch,£46.95,70cl,43%,£67.07 per litre
 Classic Malts Strong Collection,£49.95,60cl,42.9%,£83.25 per litre
Singleton of Dufftown 15 Year Old,£49.95,70cl,40%,£71.36 per litre
Old Ballantruan 10 Year Old,£49.95,70cl,50%,£71.36 per litre
Cardhu 15 Year Old,£49.95,70cl,40%,£71.36 per litre
 Talisker Port Ruighe,£49.95,70cl,45.8%,£71.36 per litre
Mortlach Rare Old,£49.95,50cl,43.4%,£99.90 per litre
 Bruichladdich The Classic Laddie,£49.95,70cl,50%,£71.36 per litre
Port Askaig 8 Year Old Glass Set,£49.95,70cl,45.8%,£71.36 per litre
Port Charlotte 10 Year Old,£49.95,70cl,50%,£71.36 per litre
 Mortlach 12 Year Old,£49.95,70cl,43.4%,£71.36 per litre
 Bunnahabhain 11 Year Old,£49.95,70cl,43%,£71.36 per litre
 Knockando 2003,£49.95,70cl,43%,£71.36 per litre
 Glenrothes 11 Year Old,£49.95,70cl,43%,£71.36 per litre
 Ben Eideann Ruby Galilean Kosher Whisky,£49.95,70cl,40%,£71.36 per litre
 Ben Eideann Fionain Kosher Whisky,£49.95,70cl,40%,£71.36 per litre
 Tomatin Discovery 2008,£49.95,70cl,43%,£71.36 per litre
Smokehead Rum Rebel,£49.95,70cl,46%,£71.36 per litre
 Dufftown 2009,£49.95,70cl,46%,£71.36 per litre
Craigellachie 13 Year Old,£50.45,70cl,46%,£72.07 per litre
Longmorn The Distiller's Choice,£50.45,70cl,40%,£72.07 per litre
Inchmurrin Madeira Wood Finish,£50.95,70cl,46%,£72.79 per litre
Benriach Peated Quarter Casks,£50.95,70cl,46%,£72.79 per litre
Tomatin Cask Strength Edition,£50.95,70cl,57.5%,£72.79 per litre
Bruichladdich Islay Barley 2011,£50.95,70cl,50%,£72.79 per litre
